experiment_id,phase,dataset_version,cheese_category,prediction_task,model_family,model_config_id,n_train,n_val,n_test,split_strategy,grouping_variable,n_folds,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,test_mae,result_file_path,evidence_status,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,test_accuracy,test_macro_f1,notes,loro_mean_r2,loro_median_r2,loro_std_r2,loro_min_r2,loro_max_r2
EXP-0001,production_context_holdout,v6,soft,general_shelf_life,random_forest,production_random_forest_v6,10035.0,2150.0,2150.0,context_id-grouped 70/15/15,context_id,1,0.992679535402607,0.9269859056435947,0.9298183040184903,2.557842612600586,8.273503621389748,7.62456548542175,4.39782900560931,artifacts_v6\soft\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0002,production_context_holdout,v6,soft,general_shelf_life,lightgbm,production_lightgbm_v6,10035.0,2150.0,2150.0,context_id-grouped 70/15/15,context_id,1,0.9932853676231369,0.9465297923364892,0.9360341905722601,2.449715307850911,7.080143260687848,7.279090505170828,4.2346520312847895,artifacts_v6\soft\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0003,production_context_holdout,v6,soft,general_shelf_life,xgboost,production_xgboost_v6,10035.0,2150.0,2150.0,context_id-grouped 70/15/15,context_id,1,0.9962135950565995,0.9430396645918293,0.9403985780092484,1.8395772293383832,7.3075598157745105,7.026377515992133,4.07590295628215,artifacts_v6\soft\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0004,production_context_holdout,v6,soft,general_shelf_life,ebm,production_ebm_v6,10035.0,2150.0,2150.0,context_id-grouped 70/15/15,context_id,1,0.9502851536898036,0.8825492941489257,0.8943602198378174,6.665727363428002,10.493344364749953,9.354421044633003,5.882466333029705,artifacts_v6\soft\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0005,production_context_holdout,v6,soft,safety_endpoint,random_forest,production_random_forest_v6,2935.0,630.0,630.0,context_id-grouped 70/15/15,context_id,1,0.9892133088419848,0.8843807612416993,0.906922482756628,2.77277692880092,6.368864644282562,5.539333375473121,3.049038879231725,artifacts_v6\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0006,production_context_holdout,v6,soft,safety_endpoint,lightgbm,production_lightgbm_v6,2935.0,630.0,630.0,context_id-grouped 70/15/15,context_id,1,0.9746759402597428,0.9337562653918053,0.9166960664801527,4.248518114704094,4.820802843796321,5.2404413213419225,2.8376728112594667,artifacts_v6\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0007,production_context_holdout,v6,soft,safety_endpoint,xgboost,production_xgboost_v6,2935.0,630.0,630.0,context_id-grouped 70/15/15,context_id,1,0.9995847470976392,0.9342113606953905,0.912128260779817,0.544035385068837,4.804214816123516,5.382198603384352,2.981479735555346,artifacts_v6\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0008,production_context_holdout,v6,soft,safety_endpoint,ebm,production_ebm_v6,2935.0,630.0,630.0,context_id-grouped 70/15/15,context_id,1,0.9476593341984384,0.7749303834796213,0.8549768295558554,6.107879086543247,8.885981438167681,6.9143889458096535,4.585014349311356,artifacts_v6\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0009,production_context_holdout,v6,semi_hard,general_shelf_life,random_forest,production_random_forest_v6,7330.0,1570.0,1570.0,context_id-grouped 70/15/15,context_id,1,0.9929581006769344,0.8768372222390031,0.8888310468782592,8.49269386855358,30.784589000478054,26.653023151201367,16.881771162332377,artifacts_v6\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0010,production_context_holdout,v6,semi_hard,general_shelf_life,lightgbm,production_lightgbm_v6,7330.0,1570.0,1570.0,context_id-grouped 70/15/15,context_id,1,0.9738849585265635,0.8822433335269827,0.9049104155273153,16.354825836714394,30.101377733270525,24.65024234692544,15.892605883626498,artifacts_v6\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0011,production_context_holdout,v6,semi_hard,general_shelf_life,xgboost,production_xgboost_v6,7330.0,1570.0,1570.0,context_id-grouped 70/15/15,context_id,1,0.9802080498364569,0.8817261921149664,0.8963282108592334,14.237864585030351,30.16740208751209,25.738605613105015,16.500706291859622,artifacts_v6\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0012,production_context_holdout,v6,semi_hard,general_shelf_life,ebm,production_ebm_v6,7330.0,1570.0,1570.0,context_id-grouped 70/15/15,context_id,1,0.9686891688983251,0.8594788290680598,0.8891537650631227,17.908031988419715,32.88247527019642,26.61430880487188,18.405579482179448,artifacts_v6\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0013,production_context_holdout,v6,semi_hard,safety_endpoint,random_forest,production_random_forest_v6,780.0,165.0,170.0,context_id-grouped 70/15/15,context_id,1,0.9813484176938828,0.7780067656135594,0.7773783716332996,4.938163999065197,17.37433975464352,21.4141659116058,16.327914075584104,artifacts_v6\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0014,production_context_holdout,v6,semi_hard,safety_endpoint,lightgbm,production_lightgbm_v6,780.0,165.0,170.0,context_id-grouped 70/15/15,context_id,1,0.9825475798210964,0.7625695892593233,0.8614921345807424,4.776782846796922,17.968284376942712,16.890974402436566,12.663839639066886,artifacts_v6\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0015,production_context_holdout,v6,semi_hard,safety_endpoint,xgboost,production_xgboost_v6,780.0,165.0,170.0,context_id-grouped 70/15/15,context_id,1,0.9933454660317185,0.7494812239875479,0.7883416740121746,2.949622867732159,18.45689242856426,20.880224514183002,15.524632663681926,artifacts_v6\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0016,production_context_holdout,v6,semi_hard,safety_endpoint,ebm,production_ebm_v6,780.0,165.0,170.0,context_id-grouped 70/15/15,context_id,1,0.9843394605207786,0.7330224976607251,0.8310316759748075,4.524921275966679,19.053544269023885,18.656068762903242,13.603560595159236,artifacts_v6\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0017,production_context_holdout,v6,hard,general_shelf_life,random_forest,production_random_forest_v6,3345.0,715.0,720.0,context_id-grouped 70/15/15,context_id,1,0.987675587804521,0.8661640145858878,0.8473823714020201,9.477710450435117,31.189312116708482,33.673169835627384,25.242745610846708,artifacts_v6\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0018,production_context_holdout,v6,hard,general_shelf_life,lightgbm,production_lightgbm_v6,3345.0,715.0,720.0,context_id-grouped 70/15/15,context_id,1,0.9957247924495758,0.8886350271703846,0.8756650356091498,5.582116946662008,28.450745692783318,30.393330129847723,22.538918949588076,artifacts_v6\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0019,production_context_holdout,v6,hard,general_shelf_life,xgboost,production_xgboost_v6,3345.0,715.0,720.0,context_id-grouped 70/15/15,context_id,1,0.9980807922086994,0.8861424139486903,0.8661447667974014,3.740083757233671,28.76738144301813,31.535471429781694,23.23247314840952,artifacts_v6\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0020,production_context_holdout,v6,hard,general_shelf_life,ebm,production_ebm_v6,3345.0,715.0,720.0,context_id-grouped 70/15/15,context_id,1,0.962881770745063,0.7820943368707206,0.8009868030074205,16.44803244448051,39.79729960841465,38.45232358997444,28.972995714203954,artifacts_v6\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0021,production_context_holdout,v6,hard,safety_endpoint,random_forest,production_random_forest_v6,530.0,115.0,110.0,context_id-grouped 70/15/15,context_id,1,0.9861780387050018,0.8433538819265542,0.7529365659439178,8.865714089501859,32.76684440380228,30.5719792606735,20.693365158588325,artifacts_v6\hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0022,production_context_holdout,v6,hard,safety_endpoint,lightgbm,production_lightgbm_v6,530.0,115.0,110.0,context_id-grouped 70/15/15,context_id,1,0.9949232086450713,0.8659836844831348,0.7861595496684589,5.373082921453316,30.307745889472702,28.442269662242108,20.689994585365387,artifacts_v6\hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
