category,task,rule,n_rows,n_contexts,n_products,products,n_ingredients,ingredients,temp_min,temp_max,y_min,y_max,y_mean,y_std,n_indicators
soft,general_shelf_life,V7|HMMC_NAT|NATAMYCIN_REVIEW,17,17,2,fior di latte; fresh mozzarella,1,natamycin,2.0,8.0,5.17,11.41,8.091764705882353,1.8297002325999936,1
soft,general_shelf_life,V7|NATAMYCIN_REVIEW,152,152,16,brie; burrata; camembert; cottage cheese ...,1,natamycin,2.0,12.0,2.76,137.0,31.38934210526316,28.722474382678904,1
soft,general_shelf_life,V7|PH_CHEESE,5654,2091,18,brie; burrata; camembert; cottage cheese ...,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,1.5,156.51,24.41795719844358,25.399773502661247,10
soft,general_shelf_life,V7|PLANT_REVIEW,2541,1604,18,brie; burrata; camembert; cottage cheese ...,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,1.82,145.7,27.57720188902007,28.377714043468103,9
soft,general_shelf_life,V7|RICOTTA_MAP,283,109,1,ricotta,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,3.06,11.97,6.3459363957597175,1.979938414092653,10
soft,general_shelf_life,V7|RICOTTA_MAP|NATAMYCIN_REVIEW,8,8,1,ricotta,1,natamycin,2.0,4.0,7.33,10.93,9.4575,1.0894526804121154,1
soft,general_shelf_life,V7|RICOTTA_MAP|PLANT_REVIEW,145,88,1,ricotta,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,3.52,13.69,7.207379310344827,2.179380333913001,9
semi_hard,general_shelf_life,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,155,9,colby; edam; gouda; halloumi ...,4,lysozyme; none; potassium nitrate ...,8.0,15.0,64.65,260.0,185.6031129032258,54.31921970378388,1
semi_hard,general_shelf_life,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|LMM_MAP,64,16,1,low-moisture mozzarella,4,lysozyme; none; potassium nitrate ...,8.0,15.0,72.18,260.0,149.87656249999998,52.604468402717835,1
semi_hard,general_shelf_life,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SALOIO_COATING,76,19,1,saloio cheese,4,lysozyme; none; potassium nitrate ...,8.0,15.0,86.02,260.0,187.33302631578945,48.15732467706892,1
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW,3013,1302,9,colby; edam; gouda; halloumi ...,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,18.6,195.64,60.120056422170585,24.30083919308515,9
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|LMM_MAP,333,143,1,low-moisture mozzarella,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,21.23,93.55,55.1651951951952,16.421152747819068,9
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|LMM_MAP|NATAMYCIN_REVIEW,12,12,1,low-moisture mozzarella,1,natamycin,2.0,10.0,37.0,79.12,54.60333333333333,12.969695681110105,2
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|LMM_MAP|PLANT_REVIEW,227,112,1,low-moisture mozzarella,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,24.79,113.33,60.91704845814978,18.678599003107283,8
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,157,157,9,colby; edam; gouda; halloumi ...,1,natamycin,2.0,12.0,26.3,166.25,66.85885350318472,29.18640340207944,2
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2038,1024,9,colby; edam; gouda; halloumi ...,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,22.01,209.85,66.98877330716388,27.685520334589878,8
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|SALOIO_COATING,346,165,1,saloio cheese,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,16.8,49.86,29.83089595375723,6.259040492806568,9
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|SALOIO_COATING|NATAMYCIN_REVIEW,22,22,1,saloio cheese,1,natamycin,2.0,12.0,23.36,47.76,34.41590909090909,7.637639038772393,2
semi_hard,general_shelf_life,V7|HARD_SEMI_REVIEW|SALOIO_COATING|PLANT_REVIEW,292,136,1,saloio cheese,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,18.65,52.15,34.00804794520548,7.520720743804042,8
hard,general_shelf_life,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,155,6,cheddar; emmental; gruyère; manchego ...,4,lysozyme; none; potassium nitrate ...,8.0,15.0,69.5,240.0,189.03080645161288,37.73921255741293,1
hard,general_shelf_life,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SHRED_NAT,32,8,1,cheddar,4,lysozyme; none; potassium nitrate ...,8.0,15.0,115.81,220.0,184.3103125,33.1174204703336,1
hard,general_shelf_life,V7|HARD_SEMI_REVIEW,2741,1277,6,cheddar; emmental; gruyère; manchego ...,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,23.61,155.87,74.62669463699379,23.46918409142728,7
hard,general_shelf_life,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,170,170,6,cheddar; emmental; gruyère; manchego ...,1,natamycin,2.0,12.0,31.29,137.71,79.74,24.045017616740253,2
hard,general_shelf_life,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2197,1020,6,cheddar; emmental; gruyère; manchego ...,6,clove essential oil; grape seed extract; green tea extract ...,2.0,12.0,29.09,177.67,82.01142922166592,25.745279892714496,6
hard,general_shelf_life,V7|HARD_SEMI_REVIEW|SHRED_NAT,135,60,1,cheddar,9,acetic acid; calcium propionate; chitosan ...,2.0,12.0,17.29,61.88,38.385851851851854,8.311624693916059,7
hard,general_shelf_life,V7|HARD_SEMI_REVIEW|SHRED_NAT|NATAMYCIN_REVIEW,8,8,1,cheddar,1,natamycin,4.0,12.0,31.7,64.75,50.224999999999994,9.38005787371729,2
