model,category,task,pooled_r2,mae,rmse
random_forest,soft,general_shelf_life,0.953873352573928,3.2337044430384574,5.604855025158603
random_forest,semi_hard,general_shelf_life,0.92111910399737,8.80715726336178,13.61626533830584
random_forest,hard,general_shelf_life,0.5820635112120687,14.561816995384802,28.59899114366713
random_forest,soft,safety_endpoint,0.8441976978061512,4.391541780070811,6.436859937627075
random_forest,semi_hard,safety_endpoint,0.7546607386808534,7.072269527713279,9.775420033930315
random_forest,hard,safety_endpoint,0.6424764201553146,9.134536830517982,12.492850420818487
lightgbm,soft,general_shelf_life,0.9601527100574637,2.944554826585662,5.209401531700104
lightgbm,semi_hard,general_shelf_life,0.9402863145151631,6.976830010444822,11.847017404818493
lightgbm,hard,general_shelf_life,0.6693215426316339,13.5550205800009,25.438911231147234
lightgbm,soft,safety_endpoint,0.8667926904765371,3.5871651845076062,5.951838690130996
lightgbm,semi_hard,safety_endpoint,0.8110168380425625,5.073948799494368,8.579529191882427
lightgbm,hard,safety_endpoint,0.7295680043920554,6.198111496363452,10.86521267258703
xgboost,soft,general_shelf_life,0.9565501992299991,3.1736343605393715,5.439792490413181
xgboost,semi_hard,general_shelf_life,0.918480822734815,8.203617269643148,13.842099995485693
xgboost,hard,general_shelf_life,0.6652815418154798,15.635975355771382,25.593836990314927
xgboost,soft,safety_endpoint,0.7857056733233859,5.583909016118446,7.5490527598020165
xgboost,semi_hard,safety_endpoint,0.6547657261563451,9.147118067839147,11.596017258726008
xgboost,hard,safety_endpoint,0.5931878622142377,10.107796068525316,13.326194453016681
