k,model,fold_r2_mean,fold_r2_std,fold_rmse_mean,fold_rmse_std,fold_r2_values,granularity,category,task
5,ridge_regression,0.9233870432325446,0.005458095579744384,13.394019140897578,0.640791277801507,"[0.9217, 0.9293, 0.9225, 0.9289, 0.9145]",aggregated_all_categories,ALL,general_shelf_life
5,lightgbm_production_hparams,0.9639234617834418,0.002652035931090937,9.183504690138683,0.2780680030982326,"[0.9647, 0.964, 0.9684, 0.9615, 0.961]",aggregated_all_categories,ALL,general_shelf_life
10,ridge_regression,0.9233330409188977,0.00848346000639483,13.375936499276268,0.8851074270360481,"[0.9262, 0.9185, 0.9194, 0.9338, 0.9233, 0.9192, 0.9383, 0.9241, 0.925, 0.9055]",aggregated_all_categories,ALL,general_shelf_life
10,lightgbm_production_hparams,0.9646786308543149,0.0038421757198519894,9.07293201495855,0.5272549338010021,"[0.9658, 0.9636, 0.9742, 0.9651, 0.9594, 0.9663, 0.9649, 0.9648, 0.9604, 0.9624]",aggregated_all_categories,ALL,general_shelf_life
5,ridge_regression,0.6526004960077223,0.014873942861202446,16.41255899183105,0.3225646394575963,"[0.6445, 0.6527, 0.6813, 0.6415, 0.643]",aggregated_all_categories,ALL,safety_endpoint
5,lightgbm_production_hparams,0.6384818129009159,0.0187435199527799,16.739999370776495,0.3683752698662401,"[0.6329, 0.6426, 0.6716, 0.6299, 0.6153]",aggregated_all_categories,ALL,safety_endpoint
10,ridge_regression,0.6534988424919865,0.028380205357983343,16.360265576303757,0.504773577466824,"[0.6532, 0.6289, 0.6705, 0.6844, 0.6591, 0.6299, 0.6758, 0.7006, 0.6082, 0.6245]",aggregated_all_categories,ALL,safety_endpoint
10,lightgbm_production_hparams,0.6370941384198613,0.03285051747346232,16.738903462612587,0.5825689092397682,"[0.6405, 0.5989, 0.6764, 0.6567, 0.6388, 0.6075, 0.6677, 0.6875, 0.6032, 0.5937]",aggregated_all_categories,ALL,safety_endpoint
5,ridge_regression,0.9209474664878563,0.0034630640891848484,7.33025822510191,0.4372985907139961,"[0.9183, 0.9265, 0.9235, 0.9187, 0.9178]",per_category_specialist,soft,general_shelf_life
5,lightgbm_production_hparams,0.9715081427073151,0.002158445362406949,4.393118577020289,0.19710888731601361,"[0.9701, 0.9716, 0.9731, 0.9683, 0.9744]",per_category_specialist,soft,general_shelf_life
10,ridge_regression,0.9205525605601833,0.004988618852488415,7.315432142115091,0.5385056673742461,"[0.9241, 0.9232, 0.921, 0.919, 0.9223, 0.9101, 0.9293, 0.923, 0.9175, 0.9159]",per_category_specialist,soft,general_shelf_life
10,lightgbm_production_hparams,0.9739311335207373,0.004989925787234256,4.155801698014528,0.27890683253935755,"[0.9811, 0.9787, 0.976, 0.966, 0.9753, 0.9715, 0.9712, 0.9655, 0.9776, 0.9764]",per_category_specialist,soft,general_shelf_life
