category,task,model,held_out_rule,n_test_rows,r2,mae,rmse
soft,general_shelf_life,ridge_regression,V7|PH_CHEESE,5654,0.899382896601911,5.373637539798768,8.056146214717376
soft,general_shelf_life,ridge_regression,V7|PLANT_REVIEW,2541,0.9024479481491786,5.395457987086217,8.861559097727918
soft,general_shelf_life,ridge_regression,V7|RICOTTA_MAP,283,-6.526624746209506,4.268948509277685,5.4222951059293
soft,general_shelf_life,ridge_regression,V7|NATAMYCIN_REVIEW,152,0.8951748687528112,5.730941683437047,9.268751483016665
soft,general_shelf_life,ridge_regression,V7|RICOTTA_MAP|PLANT_REVIEW,145,-5.736023441465923,4.843601870657491,5.636792753048267
soft,general_shelf_life,ridge_regression,V7|HMMC_NAT|NATAMYCIN_REVIEW,17,-7.959290925804286,4.349461488072583,5.313152648886103
soft,general_shelf_life,ridge_regression,V7|RICOTTA_MAP|NATAMYCIN_REVIEW,8,-22.739345628934746,4.819814590449502,4.965314595473282
soft,general_shelf_life,lightgbm_production_hparams,V7|PH_CHEESE,5654,0.9404726537375101,3.6951176190192654,6.196546250678196
soft,general_shelf_life,lightgbm_production_hparams,V7|PLANT_REVIEW,2541,0.9830628544277353,2.1790228624867587,3.692428071418501
soft,general_shelf_life,lightgbm_production_hparams,V7|RICOTTA_MAP,283,0.8308581121204253,0.6399598348387776,0.8128466215200582
soft,general_shelf_life,lightgbm_production_hparams,V7|NATAMYCIN_REVIEW,152,0.9843100662852811,2.353707994485673,3.5859075189384946
soft,general_shelf_life,lightgbm_production_hparams,V7|RICOTTA_MAP|PLANT_REVIEW,145,0.7667079723190661,0.7423414806443028,1.0490114329119706
soft,general_shelf_life,lightgbm_production_hparams,V7|HMMC_NAT|NATAMYCIN_REVIEW,17,0.5020774231289937,1.097258723537272,1.252553783680994
soft,general_shelf_life,lightgbm_production_hparams,V7|RICOTTA_MAP|NATAMYCIN_REVIEW,8,0.2544288198230479,0.79326867095145,0.8799478901349203
soft,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,1579,0.6918246556560375,7.416874675464676,9.469359277762877
soft,safety_endpoint,ridge_regression,V7|RISK_REVIEW|PH_CHEESE,1120,0.32498458485287396,9.655510974159721,11.564887867009595
soft,safety_endpoint,ridge_regression,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,539,0.27602125593997784,9.906317453031264,11.748832285694787
soft,safety_endpoint,ridge_regression,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,484,0.32863253859311503,9.69930728124106,11.463768140235196
soft,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,357,0.707981872633015,6.885848659376811,8.983219882411642
soft,safety_endpoint,ridge_regression,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,313,0.25468057932310917,9.85186805257085,11.694058019491072
soft,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|RICOTTA_NISIN,116,0.3026800707891597,3.6988081476445376,5.36330471053663
soft,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|FETA_OREGANO,112,-0.005913033148121416,12.157023761136857,13.738067701905035
soft,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|QF_MARKET,96,0.27114408624604924,3.2864747769987326,4.058481461819566
soft,safety_endpoint,ridge_regression,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE,58,-0.3036442379000637,10.513047779199395,12.682223883340903
soft,safety_endpoint,ridge_regression,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,26,-0.04786495344808994,10.966557716770602,12.61291273685646
soft,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,1579,0.798892568249573,5.310479869378506,7.649546860796537
soft,safety_endpoint,lightgbm_production_hparams,V7|RISK_REVIEW|PH_CHEESE,1120,0.6863488521731876,6.134361134821742,7.8832994082581145
soft,safety_endpoint,lightgbm_production_hparams,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,539,0.7054563145477055,5.97612079551446,7.4938786264594555
soft,safety_endpoint,lightgbm_production_hparams,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,484,0.8626351118032372,4.075760219196367,5.18543408135943
soft,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,357,0.9510255009190033,2.6127745211840967,3.6788503822267047
soft,safety_endpoint,lightgbm_production_hparams,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,313,0.8015412730266244,4.7671462962261115,6.034330961370289
soft,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|RICOTTA_NISIN,116,0.5000711538124181,2.659841470570751,4.541198975570833
soft,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|FETA_OREGANO,112,-0.1872050672124672,13.243268784378156,14.924792626042889
soft,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|QF_MARKET,96,0.43196546428991733,2.839777006416932,3.5828621255257773
soft,safety_endpoint,lightgbm_production_hparams,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE,58,0.19469630909453373,7.2624886745809585,9.967717380834939
soft,safety_endpoint,lightgbm_production_hparams,V7|FETA_OREGANO|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,26,0.8493047348790735,4.065332812685274,4.783133878730107
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW,3013,0.7923910373096591,8.697984715158173,11.070627517958604
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2038,0.8163550668193369,8.626313114995007,11.861390123883554
semi_hard,general_shelf_life,ridge_regression,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,0.33899644792336947,35.773407111797226,44.12705043644707
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SALOIO_COATING,346,-1.4629299943284675,8.357936173943246,9.808560907613055
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|LMM_MAP,333,0.4959706184317596,9.886345361415746,11.64068380824984
semi_hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SALOIO_COATING|PLANT_REVIEW,292,-2.196646236442843,11.710820647757062,13.423378003154774
