model,n_rules,mean_r2,median_r2,std_r2,min_r2,max_r2,category,task,duration_sec
ridge_regression,7,-5.752039861272938,-5.736023441465923,7.807961588316495,-22.739345628934746,0.9024479481491786,soft,general_shelf_life,2.332054376602173
shallow_decision_tree,7,-0.9754159404595901,-0.005964522990000054,3.155969884458919,-8.559507320961266,0.9066543734324672,soft,general_shelf_life,2.224879741668701
shallow_random_forest,7,-2.013269680869116,-0.11351905153547737,5.070103450318789,-14.201218497844193,0.9401068171509968,soft,general_shelf_life,10.695768356323242
small_mlp,7,0.17848592235424324,0.5548185117387059,0.9175622406440701,-1.8767862660045633,0.9605458105711419,soft,general_shelf_life,80.38506984710693
lasso,7,-4.6605109562078155,-5.374710821432559,6.0083838519794925,-17.00993676144598,0.9131662202562971,soft,general_shelf_life,5.663422584533691
elastic_net,7,-4.727164827396207,-5.082989525006905,5.925054062102249,-16.535347643044314,0.9073032801260711,soft,general_shelf_life,3.169593334197998
bayesian_ridge,7,-5.75834133273086,-5.74135523094034,7.815420348475928,-22.762677149386274,0.9021917547430913,soft,general_shelf_life,3.2732110023498535
knn_regressor_k5,7,0.12500344259331744,-0.03506906197479842,0.6133309131405251,-0.7741380659216324,0.9399655697118432,soft,general_shelf_life,5.1712117195129395
svr_rbf,7,0.7507010556915302,0.7123367090682051,0.14756445715374944,0.4993402128311577,0.9420204486538813,soft,general_shelf_life,26.80252194404602
gradient_boosting,7,0.36999035462999413,0.5726712751408876,0.8215906311346215,-1.538032439230737,0.9672238653868136,soft,general_shelf_life,97.80387830734253
adaboost,7,-4.655576751710522,-2.389793715701506,6.545500920155225,-17.295377511117014,0.950580167688139,soft,general_shelf_life,61.69676446914673
extra_trees,7,0.015929689203795543,0.6055185822570303,1.2417358248235353,-2.4346461901691527,0.9737026605064489,soft,general_shelf_life,26.01521944999695
pls_regression,7,-6.81464495939151,-6.390010397206269,9.662543570289053,-28.545385113025823,0.8925351855375407,soft,general_shelf_life,2.2164204120635986
dummy_mean_baseline,7,-66.00908465026426,-65.8467365967017,73.30345864224485,-219.4584128020882,-0.00018275326446715034,soft,general_shelf_life,1.229276180267334
lightgbm_production_hparams,7,0.7517025574060084,0.8308581121204253,0.2561675321139362,0.2544288198230479,0.9843100662852811,soft,general_shelf_life,21.73574161529541
